"Description","Count"
"room change per victoria mccullough",11
"room & bldg chng",11
"retirement bowling party",11
"requestor called to change time to appt. 7/19@0859",11
"requestor called to change time to appt. 10/18@1529",11
"requestor called to change rm #. dk 03/09/12 1604hrs",11
"reporters attending the budget briefing in the south court auditorium on 2/2 at 12:45 rm/person to be visit change per requestor",11
"redo of u47028 (wrong location) which can be disabled to ensure visitors enter eeob without a problem",11
"principals meeting on cir",11
"press reception",11
"presidential food service gift shop - no room number is provided",11
"poetry reading",11
"please add to work order 104686 now appointment",11
"picking up key at 8a and then proceeding to bowling alley in 037",11
"person to be visited changed in cosult with requestor sgt. lillis",11
"per ellie time changed from 1100 to 1040",11
"per ellie date changed from 8/5 to 8/8",11
"oval picture with mathcounts champs",11
"opl cocktail party",11
"omb reception",11
"omb meeting with ceqdodand doi",11
"off duty opc volunteers to visit gift shop as a thank you",11
"off duty opc volunteers to shop in gift shop as a thankyou",11
"nurse to administer allergy injections",11
"note that this is the same group as u90720 (dropoffs) being cleared for the pickup time",11
"new staff members",11
"nascar event",11
"name misspell",11
"mtg w/ u.n. secretary",11
"military honor for the state arrival",11
"mergeu19591",11
"merge to u06915",11
"members of congress meeting with the president",11
"meetings",11
"meeting with staff",11
"meeting with robert fee",11
"meeting with dod & va",11
"meeting with ceos",11
"meeting information just provided",11
"meet with the military aide in ew #102",11
"medal of science and social security office coordinating event",11
"marine band performers",11
"map room",11
"lunch with hrm king abdullah",11
"lunch reservation at the mess",11
"location room personvisited and time change per montoya",11
"location changed from neob to eeob dk 11/30/12 1201hrs",11
"location change from wh to eeob per kukla",11
"location and room number changes made at the request of e. alcantara",11
"location and room change per richard frohlichstein",11
"location and and room changed per matthew mcallister",11
"lgbt reception on the state floor",11
"jones requested a location change",11
"intern bowling",11
"interagency meeting on oil spill commission",11
"in lobby now",11
"i apologize for just putting this information in but the state department coordinator just sent us the clearance information",11
"i accidentally waved this request into the residence. it should be the eeob. the previous appointment number was 368103",11
"group tour this is a group of 11 who usss will be escorting. they forgot to submit the list earlier",11
"group tour name reversals",11
"group meeting",11
"greek event",11
"grand ronde and york tribes meeting",11
"gospel persuaders",11
"going away celebration",11
"foreign nationals from japan**",11
"flower shop volunteers",11
"fiscal commission mtg",11
"family west wing tour",11
"ew tour must enter through sherman park dob/name",11
"essential staff holding during dinner time changed per requestor",11
"entering on east side",11
"eeob bowling alley marc freiman is the passholder",11
"eeob bowling alley 039",11
"eeob - truman bowling alley",11
"easter egg roll meeting",11
"dwac",11
"drivers for credentials ceremony",11
"dr. chu just provided the info for the meeting",11
"dr who will stay in the car on west exc ave after dropping off principals",11
"dr bring united states naval academy guests for the commander in chief trophy presentation. will stay will busses on 15th and e",11
"dominican republic independance day briefing",11
"depature photo",11
"departure photo time change per requestor",11
"departing military personnel and families photograph with potus (3:50p.m. appointment)",11
"date and time change made at the request of d. jones",11
"could you please add danielle borrin to the u number? thank you!",11
"confirmed bowling for truman alley 122pm",11
"coming in for lunch/meeting with joe jordan",11
"coming in for breakfast/meeting with shelley metzenbaum",11
"civil rights music event",11
"christmas tree arrival",11
"cancel per requestor",11
"business meeting",11
"bowling alley in oeob",11
"bowling alley 2hr block/time changed from 1015 to 1115 per rodney",11
"bilateral meeting participants",11
"belive farewell",11
"autos announcement",11
"attend monthly eop security briefing",11
"arriving with members of congress",11
"appointment to use the truman bowling alley in eeob",11
"appointment in the ushers office",11
"appointment duplicated from original appointment submitted 8/26/2014 12:14:50pm",11
"american australian leadership dialogue meeting",11
"all-agency phone cal",11
"11:00a.m. truman bowling alley appointment",11
"*meeting participants + official photographer*",11
"ww tour and holiday open house - passholder will walk visitors to ew",10
"ww breakfast meeting",10
"women's briefing",10
"will be meeting in rm 2020 then doing a site walk through the neob parking garage all levels",10
"white house briefing (s)",10
"wh mess appointment",10
"west wing tourtour",10
"west wing tourdate changed at the request of the requestor. kdc 11/17 13:31",10
"west wing tour/updated date and time per requestor",10
"west wing tour/per daniel person to be visited changed to jordan burke",10
"west wing tour/appointment date change at the request of the requestor",10
"west wing tour...tour cancelled per requestor",10
"west wing tour...requestor called to change time and date from 02/11/12 1500hrs to 02/12/11 1330hrs dk 02/10/12 1733hrs",10
"west wing tour thank you again!",10
"west wing tour reclears",10
"west wing tour previously cleared changed time",10
"west wing tour confirmed 4 guests and 1 child",10
"west wing tour ;",10
"west wing tour // time change per asher mayerson",10
"west wing tour **requestor called @ 9:33 to change room and event to west wing tour",10
"we will be requesting access for two vehicles to drive on the complex to bring this group to the wh. reinhard estipular and romeo asanza are",10
"we have confirmed bowling reservation from 79 pm",10
"visitors may be entering via car at the 15th st entrance",10
"visitors",10
"visitor does not have a last name. their first name is appadurai srinivasa ananthakrishnan",10
"visit to dr. bidens office by delaware high school students",10
"truman bowling reserved for 7pm confimed",10
"truman bowling alley//cancelled per ruiz",10
"truman bowling alley bowling",10
"treasury secretary geithner's family",10
"tour of the west wing",10
"time changed per equestor",10
"time change per wall",10
"time change per schwartz",10
"time change per krency",10
"time change per gregory nelson",10
"time change per darlene fleming",10
"time change made at the request of n. schwartz",10
"time change made at the request of n. perkins",10
"time change made at the request of e. haubrich",10
"time change made at the request of d. robertson",10
"time change made at the request of c. montani",10
"time and room number changes made at the request of b. gillum",10
"time and date changed per the requestor",10
"time adjustment requested per p/h",10
"this is an appointment, not press**",10
